ID,Date,mMGLC ,CumulativeAddedGlc,Time
22,20190303,22.03464504,20,
22,20190303,23.34234505,20,
22,20190303,24.33964153,20,
23,20190303,20.65485131,20,
23,20190303,22.05266847,20,
23,20190303,18.10954241,20,
24,20190303,20.98127566,20,
24,20190303,22.33503555,20,
24,20190303,22.38910584,20,
24,20190304,34.41073395,40,
24,20190304,34.92340042,40,
24,20190304,35.13968159,40,
25,20190304,32.63242215,40,
25,20190304,30.01301692,40,
25,20190304,25.46710724,40,
27,20190304,34.12235907,40,
27,20190304,34.52488235,40,
27,20190304,13.70381496,40,
24,20190305,4.916391309,60,
24,20190305,25.39100831,60,
24,20190305,27.86422349,60,
25,20190305,23.72283969,60,
25,20190305,24.04726144,60,
25,20190305,28.21868429,60,
27,20190305,29.59247021,60,
27,20190305,28.25072594,60,
27,20190305,29.27806148,60,
24,20190305,40.61880445,80,10AM
24,20190305,42.43716832,80,10AM
24,20190305,42.33904075,80,10AM
25,20190305,39.95594273,80,10AM
25,20190305,40.2363072,80,10AM
25,20190305,41.26364274,80,10AM
27,20190305,36.11494943,80,10AM
27,20190305,38.62421147,80,10AM
27,20190305,40.79703615,80,10AM
20,20190306,-0.0001,90,
20,20190306,-0.0068,90,
20,20190306,0.0004,90,
21,20190306,-0.0027,90,
21,20190306,-0.0026,90,
21,20190306,-0.0026,90,
22,20190306,-0.0024,90,
22,20190306,-0.0026,90,
22,20190306,-0.0019,90,
60,20190306,-0.0016,90,
60,20190306,0.0021,90,
60,20190306,0.0089,90,
61,20190306,-0.0023,90,
61,20190306,-0.0024,90,
61,20190306,-0.0017,90,
62,20190306,-0.0025,90,
62,20190306,-0.0029,90,
62,20190306,-0.0199,90,
22,20190306,45.08864994,140,11AM
22,20190306,44.72735962,140,11AM
22,20190306,45.21290323,140,11AM
23,20190306,43.9130227,140,11AM
23,20190306,43.9474313,140,11AM
23,20190306,44.16535245,140,11AM
24,20190306,40.0516129,140,11AM
24,20190306,44.9223417,140,11AM
24,20190306,44.79808841,140,11AM
22,20190306,30.77467145,140,6PM
22,20190306,31.38829152,140,6PM
22,20190306,31.14169654,140,6PM
23,20190306,30.03679809,140,6PM
23,20190306,30.49940263,140,6PM
23,20190306,30.04635603,140,6PM
24,20190306,31.02126643,140,6PM
24,20190306,31.22962963,140,6PM
24,20190306,31.05376344,140,6PM
22,20190307,-1.250179211,140,
22,20190307,-1.108721625,140,
22,20190307,-0.951971326,140,
23,20190307,-1.120191159,140,
23,20190307,-1.143130227,140,
23,20190307,-1.070489845,140,
24,20190307,-1.09916368,140,
24,20190307,-1.102986858,140,
24,20190307,-1.120191159,140,
61,20190306,26.52329749,140,6PM
61,20190306,26.66857826,140,6PM
61,20190306,27.36248507,140,6PM
60,20190306,26.71445639,140,6PM
60,20190306,26.32066906,140,6PM
60,20190306,27.83273596,140,6PM
62,20190306,27.35101553,140,6PM
62,20190306,27.15603345,140,6PM
62,20190306,27.81935484,140,6PM
60,20190307,-1.102986858,140,
60,20190307,-1.074313023,140,
61,20190307,-1.09916368,140,
61,20190307,-1.007407407,140,
62,20190307,-1.09916368,140,
62,20190307,-1.108721625,140,
24,20190308,23.34097421,240,
24,20190308,23.23973257,240,
24,20190308,22.95510984,240,
27,20190308,20.50620821,240,
27,20190308,20.834766,240,
27,20190308,21.14422159,240,
28,20190308,32.05157593,240,
28,20190308,32.24450812,240,
28,20190308,32.65520535,240,
65,20190308,15.02578797,240,
65,20190308,11.42884432,240,
65,20190308,11.45176695,240,
62,20190308,13.79942693,240,
62,20190308,14.01528176,240,
62,20190308,14.23495702,240,
64,20190308,18.65329513,240,
64,20190308,19.09264565,240,
64,20190308,18.69723018,240,
18,20190302,NA,0,
