ID,Date,CellDensity,Mean,P1,P2,P3,TotVol,Day,Media,Glc,Nutrient.Boost
adj,2/25/19,126000,,3.305,,,,0,adj,0glc,
2xadj,2/25/19,110500,,3.328,,,,0,adj2x,0glc,
3xadj,2/25/19,118000,,3.3485,,,,0,adj3x,0glc,
2xadj,2/26/19,344000,3.799657413,3.74585,2.15585,17.6766,14734673.69,1,adj2x,0glc,
3xadj,2/26/19,281000,3.650627722,3.82089,2.21444,0,9020257.478,1,adj3x,0glc,
adj,2/26/19,374000,3.833416043,3.8803,2.36842,10.6632,16959141.19,1,adj,0glc,
2xadj,2/28/19,868000,5.038345392,4.52094,6.9025,2.63271,90186595.97,3,adj2x,0glc,
3xadj,2/28/19,949000,4.882026108,6.20157,3.370025,10.983215,110938000.5,3,adj3x,0glc,
adj,2/28/19,1122000,4.946645437,2.57154,4.68321,7.40689,134029568.7,3,adj,0glc,
2xadj,3/1/19,1644000,4.942753747,3.49077,6.20958,2.13066,173088752.9,4,adj2x,0glc,
3xadj,3/1/19,1404000,4.83889494,3.70208,6.702725,7.91502,146467324.6,4,adj3x,0glc,
adj,3/1/19,1806000,4.813777652,3.44998,6.13701,2.18134,199192052.8,4,adj,0glc,
1,3/2/19,5746000,4.166837661,3.22771,4.123803333,9.471316667,416200479.3,5,adj,0glc,
2,3/2/19,4539333.333,4.42719887,3.3831,8.137576667,2.13066,358593078,5,adj,0glc,
3,3/2/19,3828333.333,4.451859134,3.304873333,8.253848333,2.11821,315819718.9,5,adj,0glc,
18,3/2/19,4384666.667,4.490640668,3.24038,6.95433,4.036913333,367155035.2,5,adj2x,0glc,
19,3/2/19,4007000,4.593237045,3.2626675,7.1274925,4.893955,352110750,5,adj2x,0glc,
20,3/2/19,4091000,4.572096722,3.25305,7.94814,3.548685,355975655.7,5,adj2x,0glc,
36,3/2/19,3871333.333,4.503712114,3.317466667,6.088976667,6.362956667,322877854.3,5,adj3x,0glc,
37,3/2/19,4078000,4.431398012,3.29152,5.05514,8.42927,339253843.5,5,adj3x,0glc,
38,3/2/19,3799000,4.53914512,3.29152,4.96705,5.267515,332015645.7,5,adj3x,0glc,
6,3/2/19,5746000,4.166837661,3.22771,4.123803333,9.471316667,416200479.3,5,adj,Glc,
7,3/2/19,4539333.333,4.42719887,3.3831,8.137576667,2.13066,358593078,5,adj,Glc,
8,3/2/19,3828333.333,4.451859134,3.304873333,8.253848333,2.11821,315819718.9,5,adj,Glc,
25,3/2/19,4384666.667,4.490640668,3.24038,6.95433,4.036913333,367155035.2,5,adj2x,Glc,
