ID,Date,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo
02,20190307,1.21417035,131.5201837,324.6625077,209.2527962,327.0712905,5.325673955,0.77033764,14.95053828,0.859327261,0.805337907,0.00328734,0.00288104
03,20190307,2.025199631,123.1139671,317.9302529,202.5146192,293.2810715,4.94221543,0.731023621,13.19761293,0.722904787,0.718301084,0.001494287,0.002375464
04,20190307,1.701418937,109.9486242,280.2622857,184.3048308,271.1499345,4.029041558,0.671259655,10.75002964,0.596277521,0.649799487,0.001070805,0.002267378
19,20190307,6.059358237,147.4278562,368.6176008,239.3387639,369.0812116,5.08645484,0.873564193,13.57453631,0.7614161,1.009203144,0.002429233,0.003207417
20,20190307,1.612701706,122.7257514,301.0334222,194.2258572,295.6583604,4.60921485,0.758035008,10.20094152,0.632615674,1.139289162,0.001809491,0.002654753
21,20190307,6.306881613,117.9753637,305.6565681,206.8270316,294.8262831,3.71974249,0.755751977,11.32841459,0.578502957,0.833581159,0.001424872,0.003574678
22,20190307,94.09738029,503.5561338,1544.881141,414.5388981,1013.34444,10.46342874,1.145763084,7.17156933,0.860429652,1.771481085,0.009852559,0.011137676
24,20190307,145.7314785,602.9793617,1918.928912,517.5309959,1245.83975,12.11717329,1.380166386,8.102483744,1.014625104,2.271584707,0.0113299,0.013470422
27,20190307,131.0518952,568.6693835,1782.761239,479.1589377,1173.066511,11.68446825,1.317710495,8.272521853,0.988031,2.054503608,0.01178179,0.013128281
60,20190307,49.98258293,330.5612316,1092.681054,354.8834261,761.0198741,7.569323179,0.993574874,4.991219646,0.750916076,1.377203973,0.00921839,0.008006647
61,20190307,65.12517904,387.6984672,1309.357505,416.8542849,902.7950001,8.213738271,1.262945522,6.684505163,0.935042611,1.645952487,0.008872904,0.01034227
62,20190307,44.31776533,326.0564635,1067.644382,346.5933365,800.5910258,7.292284692,1.071810565,5.485357746,0.82132217,1.485070081,0.007118079,0.008615849
18,20190311,26.95112554,118.6037663,292.7284395,221.6579492,349.1807498,1.634388686,0.672582792,13.07147511,0.555597492,1.105066585,0.002056877,0.001833559
19,20190311,12.58651877,152.0983018,360.3678002,257.0196674,373.8094624,1.5831167,0.799901108,15.1999491,0.730586222,0.884723897,0.002380428,0.002482689
20,20190311,24.94693521,145.7806459,354.4108162,247.4208087,364.0770786,2.052824388,0.773547844,14.20446619,0.811006189,0.889923468,0.002403111,0.002477823
60,20190311,146.8143189,400.3088985,1443.423552,302.9395464,840.8751192,3.780208022,0.442058193,6.135653884,0.654712515,1.537760588,0.010232983,0.014891845
61,20190311,1591.786076,407.1387578,1523.753449,321.5902372,254.9995685,2.260222126,0.420307262,6.045806525,0.576480131,1.552229083,0.009990855,0.015242921
62,20190311,643.7368603,378.560666,1399.810577,301.4389823,377.2894093,2.41421369,0.420420691,5.497575512,0.611067225,1.530787806,0.009537281,0.014628014
