ID,Date,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo
02,20190307,0.017028911,1.844589233,4.553437728,2.934800151,4.587221247,0.074693333,0.010804095,0.20968342,0.012052187,0.011294978,4.61054E-05,4.0407E-05
03,20190307,0.030075055,1.828293479,4.721396133,3.007426099,4.355345565,0.073393949,0.010856004,0.195990026,0.010735436,0.010667069,2.21908E-05,3.52766E-05
04,20190307,0.024659782,1.593557633,4.062025403,2.671250977,3.929954112,0.058395546,0.009729007,0.155807241,0.008642242,0.009417971,1.55199E-05,3.28626E-05
19,20190307,0.079799601,1.941572618,4.854563166,3.1520067,4.860668756,0.066986808,0.011504531,0.178771832,0.01002758,0.013290848,3.19921E-05,4.22405E-05
20,20190307,0.024194523,1.841190502,4.516247581,2.913869334,4.435608329,0.069149649,0.011372404,0.15303941,0.009490803,0.017092162,2.71469E-05,3.98279E-05
21,20190307,0.088016837,1.646426715,4.265646009,2.886412378,4.114501989,0.051911545,0.010547035,0.158095757,0.008073404,0.011633194,1.98851E-05,4.98871E-05
22,20190307,0.210611045,1.127071586,3.457790542,0.927831044,2.268092171,0.023419501,0.002564475,0.016051581,0.001925835,0.003964972,2.20522E-05,2.49286E-05
24,20190307,0.319775396,1.323104427,4.210663748,1.135606947,2.733718919,0.026588448,0.003028469,0.017779103,0.00222637,0.004984489,2.4861E-05,2.95579E-05
27,20190307,0.268663405,1.165802698,3.654756037,0.98230149,2.404849186,0.023953786,0.002701377,0.016959113,0.002025516,0.004211842,2.41533E-05,2.69137E-05
60,20190307,0.102880754,0.68040479,2.249100477,0.730467944,1.566431627,0.015580181,0.002045107,0.010273588,0.001545635,0.002834743,1.89745E-05,1.64803E-05
61,20190307,0.125298747,0.745919366,2.519161675,0.802014221,1.736948509,0.015802968,0.002429867,0.012860773,0.001798992,0.00316676,1.70712E-05,1.98982E-05
62,20190307,0.083353297,0.61325026,2.008036239,0.651876216,1.505759613,0.013715402,0.002015872,0.010316916,0.001544751,0.002793135,1.33878E-05,1.62048E-05
18,20190311,0.361787044,1.592115547,3.929533726,2.975496294,4.687339347,0.021939739,0.00902863,0.175469122,0.00745824,0.014834214,2.76111E-05,2.46134E-05
19,20190311,0.15039862,1.817450491,4.306100907,3.071175122,4.466717793,0.018916952,0.009558165,0.181626978,0.008729909,0.010571728,2.84442E-05,2.96661E-05
20,20190311,0.350390285,2.047550998,4.977850222,3.475130191,5.113616976,0.028832789,0.010864808,0.199507752,0.011390926,0.012499353,3.37527E-05,3.48021E-05
60,20190311,0.590368556,1.609718917,5.804283154,1.218178063,3.381320253,0.015200942,0.001777601,0.024672642,0.002632725,0.00618363,4.11488E-05,5.9883E-05
61,20190311,6.375971288,1.630812751,6.103463517,1.288144274,1.021412332,0.009053422,0.00168356,0.024216752,0.002309117,0.006217524,4.00188E-05,6.10562E-05
62,20190311,2.581511143,1.518102563,5.613515128,1.208829476,1.513004574,0.009681471,0.001685969,0.022046357,0.002450499,0.00613876,3.82464E-05,5.86612E-05
