ID,Date,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo
02,20190225,7479,414,5377,444,10186,42.0,2.6,11.8,0.6,1.4,0.04,0.06
02,20190307,13087,208,3338,302,7274,35.1,3.5,8.7,0.8,1.9,0.05,0.10
03,20190307,17974,367,4958,450,9656,53.3,5.7,16.3,1.3,4.2,0.08,0.15
04,20190307,21177,413,5781,523,11344,52.3,6.7,18.1,1.5,3.5,0.09,0.17
19,20190307,17058,502,4400,944,9795,42.1,5.3,13.2,1.2,2.8,0.07,0.14
20,20190307,18530,571,4641,989,10457,48.0,5.7,15.0,1.3,3.0,0.07,0.15
21,20190307,17258,454,4055,870,9338,33.2,4.8,11.1,1.1,2.6,0.06,0.13
22,20190307,18078,353,3211,473,8758,84.6,4.9,24.7,0.5,1.3,0.08,0.14
24,20190307,19793,346,3322,478,8524,81.9,4.9,23.0,0.5,1.3,0.08,0.14
27,20190307,16924,348,3136,452,8497,83.8,4.5,26.2,0.5,1.2,0.08,0.13
60,20190307,22469,550,4275,660,10571,102.8,6.0,29.3,0.6,1.8,0.10,0.18
61,20190307,24166,509,4306,680,10883,109.8,6.3,32.2,0.6,1.9,0.10,0.19
62,20190307,22855,501,4220,659,10782,105.8,6.0,28.2,0.5,1.8,0.10,0.18
18,20190311,18255,725,4768,901,10203,32.6,5.4,0.8,1.1,2.8,0.09,0.16
19,20190311,19031,765,4944,936,11028,31.0,5.6,0.5,1.1,3.5,0.09,0.16
20,20190311,18105,783,5069,942,10690,32.4,5.2,0.7,1.0,2.7,0.09,0.15
60,20190311,18175,260,1692,453,6590,202.6,5.9,33.0,0.4,0.3,0.18,0.11
61,20190311,16647,238,1550,428,6719,207.0,5.5,33.6,0.4,0.3,0.19,0.10
62,20190311,16991,288,1827,420,6257,186.5,5.6,31.2,0.3,0.3,0.17,0.10
