ID,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo
GR01-1,3.3E+09,1.4E+10,4.3E+10,1.6E+10,3.2E+10,1.7E+09,6.8E+07,4.5E+09,5.6E+07,1.5E+08,8.5E+04,2.8E+05
GR02-1,1.5E+10,1.5E+10,4.6E+10,2.0E+10,3.7E+10,4.1E+09,7.2E+07,3.4E+09,9.0E+07,3.7E+08,1.6E+05,5.9E+05
GR03-1,3.4E+09,1.3E+10,3.8E+10,1.6E+10,2.9E+10,1.4E+09,6.2E+07,4.0E+09,4.9E+07,5.5E+07,6.9E+04,2.3E+05
GR07-1,1.7E+09,1.0E+10,3.2E+10,1.1E+10,1.9E+10,1.9E+09,4.8E+08,4.5E+08,2.0E+07,3.4E+07,0.0E+00,3.2E+05
GR08-1,1.9E+09,1.2E+10,3.6E+10,1.3E+10,2.4E+10,2.2E+09,2.8E+08,3.6E+08,4.3E+07,3.9E+07,7.7E+03,3.7E+05
GR09-1,2.9E+09,1.0E+10,3.2E+10,1.2E+10,2.1E+10,2.5E+09,2.9E+08,3.5E+08,2.7E+07,6.6E+07,1.2E+04,3.5E+05
GR13-1,1.3E+10,1.3E+10,3.7E+10,1.7E+10,3.3E+10,3.7E+09,5.9E+07,1.6E+09,1.4E+08,3.5E+08,8.1E+04,2.3E+06
GR14-1,3.8E+09,1.4E+10,4.0E+10,1.8E+10,3.3E+10,1.1E+09,6.1E+07,3.5E+09,9.0E+07,6.1E+07,4.6E+04,2.0E+06
GR15-1,4.0E+09,1.1E+10,3.2E+10,1.5E+10,2.5E+10,1.0E+09,4.9E+07,2.4E+09,1.4E+08,1.0E+08,2.7E+04,1.8E+06
GR19-1,3.5E+09,1.3E+10,4.1E+10,1.8E+10,3.3E+10,1.6E+09,5.3E+07,2.3E+09,1.4E+08,6.0E+07,5.4E+04,2.0E+06
GR20-1,1.9E+10,1.4E+10,4.1E+10,1.8E+10,3.7E+10,5.3E+09,6.0E+07,2.6E+09,1.4E+08,4.7E+08,1.2E+05,2.1E+06
GR21-1,3.8E+09,1.3E+10,4.1E+10,1.7E+10,3.1E+10,1.5E+09,5.3E+07,1.3E+09,9.7E+07,8.0E+07,5.0E+04,1.4E+06
GR29-1,2.3E+09,4.3E+09,2.0E+10,6.9E+09,1.3E+10,3.5E+08,2.1E+07,6.9E+09,7.3E+07,4.2E+07,3.5E+04,1.9E+06
GR30-1,3.2E+09,4.6E+09,2.1E+10,7.0E+09,1.3E+10,5.3E+08,2.0E+07,7.1E+09,8.3E+07,6.7E+07,5.0E+04,2.2E+06
GR31-1,2.9E+09,4.4E+09,1.7E+10,5.9E+09,1.1E+10,1.1E+10,1.8E+07,4.8E+09,9.1E+07,7.0E+07,3.5E+04,1.6E+06
RG01-2,2.6E+09,1.4E+10,3.7E+10,1.9E+10,2.9E+10,8.8E+08,6.3E+07,3.9E+09,2.0E+08,7.7E+07,8.9E+04,2.6E+05
RG02-2,3.0E+09,1.7E+10,4.5E+10,2.4E+10,3.5E+10,1.0E+09,7.7E+07,3.0E+09,2.3E+08,9.8E+07,5.4E+04,3.5E+05
RG03-2,2.7E+09,1.4E+10,3.8E+10,2.0E+10,3.1E+10,9.4E+08,6.7E+07,2.8E+09,2.1E+08,8.3E+07,3.1E+04,3.1E+05
RG07-2,2.1E+09,1.4E+10,4.1E+10,1.6E+10,2.3E+10,9.7E+08,1.9E+08,5.5E+08,8.6E+07,6.4E+07,1.2E+04,2.9E+05
RG08-2,2.4E+09,1.9E+10,5.0E+10,2.0E+10,3.3E+10,1.4E+09,2.7E+08,7.4E+08,8.5E+07,7.5E+07,7.7E+03,3.5E+05
RG09-2,3.1E+09,1.9E+10,5.0E+10,2.0E+10,3.3E+10,1.4E+09,3.3E+08,7.8E+08,9.4E+07,8.7E+07,4.2E+04,3.9E+05
RG13-2,3.2E+09,1.5E+10,3.8E+10,2.0E+10,3.1E+10,6.8E+08,6.6E+07,7.7E+09,4.4E+08,7.9E+07,8.1E+04,9.5E+05
RG14-2,3.4E+09,1.6E+10,4.6E+10,2.5E+10,3.9E+10,7.3E+08,7.4E+07,1.1E+10,3.4E+08,9.0E+07,3.5E+04,9.8E+05
RG15-2,3.0E+09,1.4E+10,3.9E+10,2.2E+10,3.3E+10,7.3E+08,6.4E+07,8.0E+09,3.0E+08,7.9E+07,5.8E+04,9.2E+05
RG19-2,2.8E+09,1.4E+10,3.5E+10,2.0E+10,3.0E+10,6.8E+08,6.2E+07,9.2E+08,4.3E+08,7.0E+07,2.7E+04,8.3E+05
RG20-2,3.4E+09,1.5E+10,3.8E+10,2.2E+10,3.5E+10,1.1E+09,6.8E+07,8.8E+08,3.7E+08,9.5E+07,4.6E+04,1.2E+06
RG21-2,3.0E+09,1.6E+10,4.1E+10,2.4E+10,3.6E+10,8.6E+08,7.1E+07,1.2E+09,3.9E+08,8.6E+07,3.5E+04,8.4E+05
RG25-2,3.4E+09,8.5E+09,2.9E+10,1.7E+10,2.2E+10,4.2E+08,4.6E+07,8.3E+09,6.9E+07,5.2E+07,1.8E+05,1.2E+06
RG26-2,3.1E+09,8.0E+09,2.5E+10,1.4E+10,2.1E+10,4.9E+08,4.2E+07,6.7E+09,5.8E+07,5.0E+07,1.2E+05,1.1E+06
