ID,Date,CellDensity,Mean,P1,P2,P3,TotVol,Day,Media,Glc
RG08,3/26/19,674000,3.654222566,3.1874175,5.49203,4.99792,26314460.22,0,ADJ.2xMgS,0Glc
RG22,3/26/19,657750,3.616172819,3.140555,1.8086975,0,22102086.77,0,ADJ.2xMgS,0Glc
RG29,3/26/19,666333.3333,3.590921234,3.153586667,6.4732,0,23370172.79,0,ADJ.2xMgS,0Glc
RG08,3/26/19,674000,3.654222566,3.1874175,5.49203,4.99792,26314460.22,0,P14,0Glc
RG22,3/26/19,657750,3.616172819,3.140555,1.8086975,0,22102086.77,0,P14,0Glc
RG29,3/26/19,666333.3333,3.590921234,3.153586667,6.4732,0,23370172.79,0,P14,0Glc
RG08,3/26/19,674000,3.654222566,3.1874175,5.49203,4.99792,26314460.22,0,M10,0Glc
RG22,3/26/19,657750,3.616172819,3.140555,1.8086975,0,22102086.77,0,M10,0Glc
RG29,3/26/19,666333.3333,3.590921234,3.153586667,6.4732,0,23370172.79,0,M10,0Glc
RG08,3/26/19,674000,3.654222566,3.1874175,5.49203,4.99792,26314460.22,0,M10.Ca,0Glc
RG22,3/26/19,657750,3.616172819,3.140555,1.8086975,0,22102086.77,0,M10.Ca,0Glc
RG29,3/26/19,666333.3333,3.590921234,3.153586667,6.4732,0,23370172.79,0,M10.Ca,0Glc
RG08,3/26/19,674000,3.654222566,3.1874175,5.49203,4.99792,26314460.22,0,M14,0Glc
RG22,3/26/19,657750,3.616172819,3.140555,1.8086975,0,22102086.77,0,M14,0Glc
RG29,3/26/19,666333.3333,3.590921234,3.153586667,6.4732,0,23370172.79,0,M14,0Glc
RG01,3/27/19,702800,4.730943507,4.65167,1.430154,0,49435942.82,1,ADJ.2xMgS,0Glc
RG05,3/27/19,832666.6667,4.674795495,4.73859,2.166766667,11.62526667,59727188.75,1,ADJ.2xMgS,0Glc
RG06,3/27/19,785333.3333,4.687270141,4.720563333,1.371316667,0,53634893.36,1,ADJ.2xMgS,0Glc
RG08,3/27/19,734666.6667,4.565874083,4.52115,0.847163333,0,44644854.08,1,P14,0Glc
RG10,3/27/19,724666.6667,4.512158118,4.53876,0.76212,0,42810499.8,1,P14,0Glc
RG11,3/27/19,703666.6667,4.54099352,4.55658,1.454226667,0,42273597.11,1,P14,0Glc
RG14,3/27/19,718000,4.56757008,4.451533333,6.547006667,0,45507966.28,1,M10,0Glc
RG16,3/27/19,713500,4.461221115,4.3032025,1.097575,0,41168638.83,1,M10,0Glc
RG17,3/27/19,724666.6667,4.517719172,4.3645,1.603026667,3.086796667,44617454.19,1,M10,0Glc
RG22,3/27/19,744666.6667,4.571177143,4.469966667,1.52592,0,48091635.63,1,M10.Ca,0Glc
RG23,3/27/19,734000,4.575788739,4.416713333,0,0,46149281.9,1,M10.Ca,0Glc
RG24,3/27/19,682750,4.573537248,4.508045,3.033775,0,44394091.09,1,M10.Ca,0Glc
RG25,3/27/19,883500,4.051319716,3.9039125,1.682305,4.612685,47543270.35,1,M14,0Glc
RG27,3/27/19,689500,4.56259166,4.46065,5.580506667,4.542596667,45659533.22,1,M14,0Glc
RG29,3/27/19,851500,4.152319002,3.9727375,1.6174075,0,49865887.58,1,M14,0Glc
RG02,3/28/19,888333.3333,6.215961604,7.179743333,3.23563,6.622613333,153359047.7,2,ADJ.2xMgS,0Glc
RG04,3/28/19,941333.3333,5.641206218,7.150576667,3.088786667,3.74274,144887486.1,2,ADJ.2xMgS,0Glc
RG05,3/28/19,862333.3333,6.149658874,6.95723,2.502583333,4.141233333,144168355.1,2,ADJ.2xMgS,0Glc
RG07,3/28/19,1407500,4.49250641,4.18861,3.6268425,6.340825,88979918,2,P14,0Glc
RG11,3/28/19,1206333.333,5.070615317,5.734616667,5.070886667,2.474133333,109255532,2,P14,0Glc
RG12,3/28/19,1338000,4.925750142,4.313595,4.314495,3.589715,108008466.3,2,P14,0Glc
RG13,3/28/19,812000,5.438605066,6.25968,4.109603333,1.581673333,86259570.24,2,M10,0Glc
RG14,3/28/19,961500,5.569367177,5.486605,5.2788625,1.09135,115389521.5,2,M10,0Glc
RG15,3/28/19,914666.6667,5.659774165,5.742496667,2.946576667,4.706396667,118297315.5,2,M10,0Glc
RG19,3/28/19,1094000,5.488927461,5.35361,2.562473333,0,122628613.7,2,M10.Ca,0Glc
RG21,3/28/19,9.00E+05,5.611004307,6.519755,3.59601,8.06557,119082092.3,2,M10.Ca,0Glc
RG22,3/28/19,944750,5.509402213,5.8588575,5.945405,2.4152725,118663979.2,2,M10.Ca,0Glc
RG27,3/28/19,738666.6667,5.018259177,4.686033333,0.837263333,0,67692683.38,2,M14,0Glc
RG28,3/28/19,709000,5.001624195,4.796156667,9.251343333,2.383416667,63418656.49,2,M14,0Glc
RG30,3/28/19,756000,4.994968599,4.64716,3.215983333,6.400033333,69213630.21,2,M14,0Glc
RG01,3/29/19,2337666.667,5.073275694,3.988256667,8.93994,3.881006667,264349815.8,3,ADJ.2xMgS,0Glc
RG04,3/29/19,2728000,4.759673943,3.8803,8.766233333,6.458103333,248955049.1,3,ADJ.2xMgS,0Glc
RG06,3/29/19,2428000,5.090536611,4.043335,8.6236975,6.2711375,276765023.8,3,ADJ.2xMgS,0Glc
RG08,3/29/19,2431500,5.128584622,5.20608,5.1685725,1.8401575,224166509.7,3,P14,0Glc
RG09,3/29/19,2106000,5.315265419,5.431483333,4.75782,4.398036667,227657914.2,3,P14,0Glc
RG10,3/29/19,2101000,5.331532239,4.670166667,5.513156667,1.48882,228097589.4,3,P14,0Glc
RG13,3/29/19,1733400,5.907056931,5.28855,6.919466,2.221634,247610313.2,3,M10,0Glc
RG14,3/29/19,1941000,5.795632472,4.3390975,7.9453625,3.00064,283122033.4,3,M10,0Glc
RG18,3/29/19,2.00E+06,5.732700039,5.157535,6.4725225,4.90644,269610512.5,3,M10,0Glc
RG20,3/29/19,2029250,5.593556515,4.4701225,7.539295,5.9111825,266297841.1,3,M10.Ca,0Glc
RG23,3/29/19,2087333.333,5.497454036,4.3815,7.378716667,1.626063333,262936495.3,3,M10.Ca,0Glc
RG24,3/29/19,2110666.667,5.538888673,4.433713333,7.833706667,2.42487,268290014.7,3,M10.Ca,0Glc
RG25,3/29/19,1107200,5.74315911,6.079808,2.302944,0.441428,139018371.6,3,M14,0Glc
RG27,3/29/19,1152333.333,5.766811348,6.283,5.02596,0,147993617.3,3,M14,0Glc
RG30,3/29/19,1045500,5.863942816,6.0653,3.02041,0,139483897.3,3,M14,0Glc
RG01,3/30/19,9728666.667,3.81490686,3.22771,4.603416667,9.946966667,458963749.4,4,ADJ.2xMgS,0Glc
RG02,3/30/19,6878500,4.173200423,3.350595,6.18433,5.5349325,439817725.6,4,ADJ.2xMgS,0Glc
RG03,3/30/19,6358000,4.384254497,3.433852,5.28011,7.43776,450065207.6,4,ADJ.2xMgS,0Glc
RG07,3/30/19,3771333.333,4.679682589,3.21504,4.522953333,3.321323333,334936533.2,4,P14,0Glc
RG08,3/30/19,4448666.667,4.847798803,3.86949,5.917826667,6.064976667,408353761.5,4,P14,0Glc
RG09,3/30/19,5170000,4.509152462,3.317466667,6.55146,7.324176667,402315109.2,4,P14,0Glc
RG13,3/30/19,4171500,4.97154025,3.62675,7.29013,7.3150475,419753935,4,M10,0Glc
RG14,3/30/19,4106000,4.267534322,3.56021,6.533903333,10.03054667,246148733.5,4,M10,0Glc
RG15,3/30/19,4807500,4.699604658,3.64813,7.8601925,3.7491225,414054577.5,4,M10,0Glc
RG19,3/30/19,3177333.333,5.593899742,6.54371,3.92636,4.192596667,395818961,4,M10.Ca,0Glc
RG20,3/30/19,4224000,5.098492508,4.1624275,5.2553475,8.3322075,435413564.5,4,M10.Ca,0Glc
RG21,3/30/19,5572666.667,4.838587438,3.68783,8.496106667,2.15585,493344547.4,4,M10.Ca,0Glc
RG28,3/30/19,1812666.667,6.169777408,7.322683333,3.344176667,0.76212,293008290.4,4,M14,0Glc
RG29,3/30/19,1642000,6.151358375,7.263636667,3.517533333,1.594426667,261129207.7,4,M14,0Glc
RG30,3/30/19,1558000,6.238212576,7.40791,2.764863333,4.90288,255009220.7,4,M14,0Glc
RG01,3/30/19,9728666.667,3.81490686,3.22771,4.603416667,9.946966667,458963749.4,4,ADJ.2xMgS,Glc
RG02,3/30/19,6878500,4.173200423,3.350595,6.18433,5.5349325,439817725.6,4,ADJ.2xMgS,Glc
RG03,3/30/19,6358000,4.384254497,3.433852,5.28011,7.43776,450065207.6,4,ADJ.2xMgS,Glc
RG07,3/30/19,3771333.333,4.679682589,3.21504,4.522953333,3.321323333,334936533.2,4,P14,Glc
RG08,3/30/19,4448666.667,4.847798803,3.86949,5.917826667,6.064976667,408353761.5,4,P14,Glc
RG09,3/30/19,5170000,4.509152462,3.317466667,6.55146,7.324176667,402315109.2,4,P14,Glc
RG13,3/30/19,4171500,4.97154025,3.62675,7.29013,7.3150475,419753935,4,M10,Glc
RG14,3/30/19,4106000,4.267534322,3.56021,6.533903333,10.03054667,246148733.5,4,M10,Glc
RG15,3/30/19,4807500,4.699604658,3.64813,7.8601925,3.7491225,414054577.5,4,M10,Glc
RG19,3/30/19,3177333.333,5.593899742,6.54371,3.92636,4.192596667,395818961,4,M10.Ca,Glc
RG20,3/30/19,4224000,5.098492508,4.1624275,5.2553475,8.3322075,435413564.5,4,M10.Ca,Glc
RG21,3/30/19,5572666.667,4.838587438,3.68783,8.496106667,2.15585,493344547.4,4,M10.Ca,Glc
RG28,3/30/19,1812666.667,6.169777408,7.322683333,3.344176667,0.76212,293008290.4,4,M14,Glc
RG29,3/30/19,1642000,6.151358375,7.263636667,3.517533333,1.594426667,261129207.7,4,M14,Glc
RG30,3/30/19,1558000,6.238212576,7.40791,2.764863333,4.90288,255009220.7,4,M14,Glc
RG01,3/31/19,10231500,4.327561787,3.70208,5.66937,8.70631,621012127.5,5,ADJ.2xMgS,0Glc
RG02,3/31/19,9616000,4.374533821,3.658986667,6.791226667,5.99492,621731095.2,5,ADJ.2xMgS,0Glc
RG03,3/31/19,9714500,4.42345885,3.68045,5.9249825,9.0987,653405179.2,5,ADJ.2xMgS,0Glc
RG07,3/31/19,6151000,4.503879453,3.31098,7.30071,4.6385125,498256491.3,5,P14,0Glc
RG08,3/31/19,10182000,4.001979586,3.06737,6.52262,5.84662,560684987.7,5,P14,0Glc
RG09,3/31/19,10868000,3.997910533,3.21504,7.23479,2.068995,561285512.3,5,P14,0Glc
RG13,3/31/19,6818333.333,4.670213723,3.702165,7.57039,1.395685,562353417.8,5,M10,0Glc
RG14,3/31/19,9469333.333,4.564579809,3.83495,7.166083333,9.664936667,691730263,5,M10,0Glc
RG15,3/31/19,7734000,4.617716549,3.767995,8.45448,1.567305,589901566.6,5,M10,0Glc
RG19,3/31/19,5243333.333,5.293887595,4.928756667,6.27875,1.41214,604349497.5,5,M10.Ca,0Glc
RG20,3/31/19,6844666.667,4.9174762,3.63048,7.553543333,4.73875,642380599.5,5,M10.Ca,0Glc
RG21,3/31/19,8283333.333,4.783632727,3.941653333,5.58668,4.549566667,672594624.3,5,M10.Ca,0Glc
RG25,3/31/19,2194000,6.768138989,8.233796667,3.087573333,0.81781,472135918.7,5,M14,0Glc
RG26,3/31/19,1952666.667,6.813532801,8.233796667,4.412356667,1.714143333,421899682.3,5,M14,0Glc
RG27,3/31/19,2380666.667,6.725983059,8.42966,4.120633333,7.833193333,516251991.3,5,M14,0Glc
RG31,3/31/19,11435333.33,6.003913039,5.630253333,8.04211,8.091046667,1630811236,5,ADJ.2xMgS,Glc
RG32,3/31/19,11414666.67,5.885899137,5.65227,8.52894,8.153973333,1603925954,5,ADJ.2xMgS,Glc
RG33,3/31/19,11626000,6.10997382,5.78672,8.363603333,2.350076667,1779420117,5,ADJ.2xMgS,Glc
RG34,3/31/19,10623500,5.543310729,4.4550575,8.940455,9.6938225,1481894815,5,P14,Glc
RG35,3/31/19,10916666.67,5.564673037,4.70189,8.835043333,4.88234,1483137616,5,P14,Glc
RG36,3/31/19,8952666.667,5.67812726,4.16404,8.698206667,11.9026,1471127966,5,P14,Glc
RG37,3/31/19,8810000,6.143463671,6.0655075,7.8123475,5.2124575,1510560922,5,M10,Glc
RG38,3/31/19,9080400,6.040761357,5.910688,9.217612,4.634866,1536661522,5,M10,Glc
RG39,3/31/19,9062500,6.226630289,5.85514,8.73182,10.6514575,1634703223,5,M10,Glc
RG40,3/31/19,9396666.667,6.371487843,5.92437,8.83506,6.15136,1761292192,5,M10.Ca,Glc
RG41,3/31/19,9571500,6.434050227,5.92437,8.78344,5.1659725,1828224683,5,M10.Ca,Glc
RG42,3/31/19,8575000,6.343968752,5.8899575,8.965955,2.417675,1603342018,5,M10.Ca,Glc
RG43,3/31/19,2591333.333,7.745353353,7.92045,9.064663333,3.05294,891871875,5,M14,Glc
RG44,3/31/19,3502000,7.287427838,5.99442,10.9169,8.835675,992702207.5,5,M14,Glc
RG45,3/31/19,2949333.333,7.65767937,9.347793333,7.889726667,5.05594,997710060.7,5,M14,Glc
RG01,4/1/19,12524000,4.50679342,3.960995,7.61807,4.469765,811769025.1,6,ADJ.2xMgS,0Glc
RG02,4/1/19,12571333.33,4.544459098,3.92618,6.612033333,10.19474,853643051.4,6,ADJ.2xMgS,0Glc
RG03,4/1/19,11538000,4.544322956,3.92636,6.929703333,4.44636,784728722.2,6,ADJ.2xMgS,0Glc
