ID,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo
GR01-1,25224,1032,2514,1386,6919,182.8,8.9,46.1,2.3,5.6,0.09,0.23
GR02-1,25540,1185,2573,1424,6934,186.8,9.1,45.5,2.2,4.7,0.10,0.22
GR03-1,25535,1206,2609,1419,6765,172.3,9.0,44.0,2.1,4.5,0.12,0.22
GR07-1,3738,321,785,531,2396,22.0,0.2,34.4,1.7,1.9,0.01,0.05
GR08-1,3894,352,782,526,2405,21.9,1.3,35.7,2.1,2.4,0.01,0.05
GR09-1,4019,353,778,523,2360,23.4,1.3,34.2,1.7,2.0,0.01,0.06
GR13-1,28946,2473,6364,4315,19196,165.1,16.6,247.5,11.3,14.8,0.04,0.37
GR14-1,29735,2437,6644,4563,18700,157.3,16.9,233.9,11.2,14.7,0.04,0.38
GR15-1,30550,2734,6947,4604,19999,171.3,17.2,246.3,11.6,15.0,0.04,0.38
GR19-1,30497,2580,6514,4446,19932,305.7,17.3,243.4,11.7,15.0,0.04,0.39
GR20-1,29217,2421,6664,4581,20558,323.0,16.5,251.8,11.2,14.4,0.05,0.38
GR21-1,32154,2727,6716,4622,20384,313.9,18.2,247.9,12.4,15.8,0.04,0.42
GR29-1,64392,5085,13486,14934,42036,315.4,31.9,424.1,20.9,29.1,0.08,0.74
GR30-1,69571,6008,12915,14192,41075,337.0,39.5,492.9,25.7,35.6,0.09,0.90
GR31-1,68814,6003,12991,14209,39666,322.7,38.4,464.7,24.9,34.5,0.09,0.88
RG01-2,27034,1388,2752,1433,7050,142.8,8.7,24.7,2.0,4.7,0.12,0.22
RG02-2,29083,1539,2839,1462,7026,140.2,9.2,23.6,1.7,4.8,0.12,0.24
RG03-2,28018,1347,2682,1433,6802,145.5,8.9,25.0,1.7,4.6,0.10,0.23
RG07-2,4605,366,728,511,2339,22.2,0.2,32.2,1.8,2.2,0.01,0.06
RG08-2,4731,363,777,548,2335,21.7,1.0,32.7,1.6,2.2,0.00,0.07
RG09-2,4546,344,708,500,2285,23.6,0.9,30.9,1.7,2.1,0.01,0.06
RG13-2,33040,2252,5847,4249,19089,107.3,18.1,165.7,11.4,16.2,0.03,0.43
RG14-2,36051,1880,6403,4919,20177,100.0,19.5,159.8,12.9,17.6,0.03,0.46
RG15-2,34115,2726,6398,4483,19453,106.4,18.6,164.2,12.3,16.7,0.04,0.44
RG19-2,36109,2556,6355,4728,19449,135.2,19.4,170.1,14.7,17.6,0.04,0.47
RG20-2,35154,2481,7348,5479,20205,130.3,18.8,172.7,12.5,17.2,0.04,0.46
RG21-2,34017,2557,6796,4942,19914,116.3,18.1,157.3,12.1,16.5,0.04,0.44
RG25-2,67256,5585,13811,15575,40123,239.7,37.2,363.7,25.2,34.6,0.08,0.88
RG26-2,70965,5694,13434,15309,38780,248.2,39.2,363.4,26.5,36.6,0.08,0.92
RG27-2,71949,4848,13453,16196,41813,239.4,39.1,373.2,26.1,35.8,0.09,0.92
RG31-2,28800,1380,1262,1008,5524,163.2,8.8,29.9,1.3,3.6,0.13,0.23
RG32-2,30883,1522,1432,1077,5737,170.1,9.4,30.8,1.6,3.9,0.14,0.25
RG33-2,26770,1262,1285,1025,5575,168.7,8.1,31.3,1.3,3.3,0.13,0.21
RG34-2,4237,180,340,442,1975,19.3,0.4,31.6,1.6,1.7,0.01,0.06
RG35-2,4344,180,348,470,1950,17.9,0.5,31.3,1.8,1.9,0.01,0.06
RG36-2,4179,186,371,441,1978,18.6,0.5,31.7,1.6,1.8,0.01,0.06
RG37-2,30389,2402,5453,4176,18157,135.0,16.2,182.8,10.0,14.2,0.04,0.39
RG38-2,32127,2455,5253,4032,17955,136.7,17.2,188.9,10.6,14.9,0.04,0.41
RG39-2,31321,2348,5149,4059,17218,131.5,16.9,183.8,10.4,14.6,0.04,0.40
RG40-2,31095,2359,5234,4187,18194,184.4,16.2,170.1,10.5,14.2,0.04,0.40
RG41-2,37116,2744,5737,4586,19863,186.7,19.4,184.4,12.8,17.0,0.05,0.48
RG42-2,32290,2218,4918,4084,17413,187.3,17.0,171.1,10.8,14.9,0.04,0.42
RG43-2,67664,4934,12067,14106,37915,176.9,37.5,303.7,25.5,35.0,0.09,0.90
RG44-2,74750,5918,14178,15775,42203,180.8,41.1,327.6,27.6,37.8,0.11,0.98
RG45-2,66076,5453,12375,13597,35378,158.9,35.3,276.9,23.6,32.5,0.08,0.83
Fresh1,3591,363,928,583,2335,22.1,2.1,34.3,1.5,1.9,0.00,0.05
Fresh2,24293,1513,5700,1383,12270,337.6,8.8,41.4,2.1,4.4,0.11,0.20
Fresh3,28938,2692,6962,4492,18833,165.8,17.1,259.7,11.3,14.6,0.04,0.38
Fresh4,28623,2673,6646,4316,18922,322.7,16.9,239.1,11.2,14.4,0.04,0.38
Fresh5,60308,5584,13395,14110,39544,347.6,35.2,503.1,22.9,31.6,0.09,0.80
