ID,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo
GR01-1,200.1,851,2589,1000,1958,104.7,4.1,275.3,3.4,9.0,0.01,0.02
GR02-1,770.8,743,2313,1000,1857,206.0,3.6,170.9,4.6,18.5,0.01,0.03
GR03-1,213.1,797,2448,1000,1824,88.3,4.0,254.6,3.1,3.5,0.00,0.01
GR07-1,158.5,927,3006,1000,1726,175.4,44.8,41.8,1.9,3.1,0.00,0.03
GR08-1,146.0,935,2822,1000,1877,171.1,21.8,27.9,3.4,3.0,0.00,0.03
GR09-1,248.1,895,2744,1000,1818,216.3,25.3,30.2,2.4,5.7,0.00,0.03
GR13-1,745.7,748,2149,1000,1919,211.9,3.4,94.2,8.2,20.4,0.00,0.13
GR14-1,215.7,775,2284,1000,1862,62.1,3.5,196.0,5.1,3.4,0.00,0.11
GR15-1,271.9,744,2156,1000,1717,67.7,3.3,160.9,9.7,6.9,0.00,0.12
GR19-1,195.0,730,2295,1000,1827,87.2,3.0,128.5,7.6,3.3,0.00,0.11
GR20-1,1009.4,771,2204,1000,2007,287.0,3.3,142.0,7.7,25.3,0.01,0.11
GR21-1,221.5,735,2347,1000,1818,87.5,3.0,75.9,5.6,4.6,0.00,0.08
GR29-1,334.6,625,2952,1000,1890,51.0,3.1,992.9,10.5,6.1,0.01,0.28
GR30-1,461.7,652,2991,1000,1911,76.3,2.8,1013.5,11.9,9.6,0.01,0.32
GR31-1,495.2,736,2851,1000,1808,1892.9,3.0,807.4,15.4,11.9,0.01,0.28
RG01-2,137.4,726,1946,1000,1537,45.8,3.3,202.2,10.6,4.0,0.00,0.01
RG02-2,125.5,705,1883,1000,1449,42.4,3.2,123.3,9.4,4.1,0.00,0.01
RG03-2,134.4,705,1860,1000,1513,46.3,3.3,135.9,10.1,4.1,0.00,0.02
RG07-2,128.0,885,2490,1000,1424,59.5,11.6,33.8,5.3,3.9,0.00,0.02
RG08-2,122.8,940,2497,1000,1680,70.8,13.6,37.3,4.3,3.8,0.00,0.02
RG09-2,151.7,931,2482,1000,1622,70.6,16.3,38.8,4.6,4.3,0.00,0.02
RG13-2,155.2,725,1874,1000,1536,33.4,3.2,378.8,21.8,3.9,0.00,0.05
RG14-2,137.1,658,1828,1000,1558,29.1,3.0,442.0,13.5,3.6,0.00,0.04
RG15-2,137.7,659,1796,1000,1507,34.0,3.0,368.1,13.7,3.7,0.00,0.04
RG19-2,136.5,670,1750,1000,1478,33.8,3.1,45.7,21.3,3.5,0.00,0.04
RG20-2,156.3,703,1751,1000,1588,51.7,3.1,40.7,16.9,4.4,0.00,0.05
RG21-2,126.2,686,1730,1000,1492,35.9,3.0,52.1,16.3,3.6,0.00,0.04
RG25-2,204.6,515,1757,1000,1358,25.6,2.8,500.1,4.2,3.1,0.01,0.08
RG26-2,224.8,573,1772,1000,1466,35.2,3.0,479.6,4.1,3.6,0.01,0.08
RG27-2,237.5,584,1787,1000,1483,30.3,3.0,458.6,5.5,3.4,0.01,0.07
RG31-2,693.9,596,3959,1000,1614,40.5,2.0,27.1,2.7,3.6,0.00,0.02
RG32-2,535.4,588,3914,1000,1711,23.2,2.0,32.5,2.2,3.5,0.00,0.02
RG33-2,671.5,572,3873,1000,1694,29.2,2.0,31.9,2.2,3.2,0.00,0.02
RG34-2,731.6,1441,4313,1000,2083,51.2,4.1,29.8,1.8,5.3,0.00,0.04
RG35-2,941.8,1558,4593,1000,2121,43.8,5.8,48.6,2.0,12.8,0.00,0.19
RG36-2,705.6,1310,4261,1000,1961,44.9,5.4,22.6,1.5,4.5,0.00,0.02
RG37-2,639.6,648,3692,1000,1728,24.7,2.1,50.7,5.1,3.7,0.00,0.02
RG38-2,684.5,587,3509,1000,1743,19.6,1.9,41.5,5.3,3.4,0.00,0.02
RG39-2,621.0,585,3689,1000,1678,23.5,1.9,36.0,5.4,3.4,0.00,0.02
RG40-2,577.4,594,3601,1000,1704,21.4,2.0,17.8,4.4,3.5,0.00,0.02
RG41-2,586.5,573,3492,1000,1591,19.9,2.0,17.6,4.1,3.3,0.00,0.02
RG42-2,579.4,597,3670,1000,1729,24.8,2.0,20.3,5.2,3.5,0.00,0.02
RG43-2,768.7,477,2852,1000,1571,18.6,2.0,97.2,3.1,2.8,0.00,0.04
RG44-2,813.2,532,2783,1000,1630,22.3,2.2,75.7,3.2,3.1,0.00,0.04
RG45-2,906.4,496,2667,1000,1446,20.4,2.1,72.2,3.2,3.1,0.00,0.03
