ID,Day,Na,Mg,P,S,K,Ca,Mn,Fe,Cu,Zn,Se,Mo,ICPVol
DR01,2,3.1E+09,9.0E+09,3.4E+10,7.9E+09,2.1E+10,5.4E+08,3.1E+07,7.7E+08,3.2E+07,8.0E+07,4.2E+04,3.1E+05,4.5E+01
DR02,2,3.2E+09,8.5E+09,3.2E+10,7.9E+09,2.0E+10,3.8E+08,2.9E+07,8.7E+08,3.3E+07,5.1E+07,0.0E+00,4.1E+05,4.5E+01
DR03,2,3.8E+09,1.0E+10,3.8E+10,9.1E+09,2.4E+10,4.2E+08,3.4E+07,7.9E+08,3.6E+07,5.1E+07,0.0E+00,2.4E+05,4.5E+01
DR07,2,2.7E+09,8.4E+09,3.4E+10,8.2E+09,2.1E+10,4.0E+08,3.0E+07,7.8E+08,2.9E+07,4.8E+07,1.2E+05,2.2E+05,4.5E+01
DR08,2,3.5E+09,8.6E+09,3.3E+10,8.1E+09,2.1E+10,3.6E+08,3.3E+07,1.3E+09,7.5E+07,6.0E+07,1.4E+05,4.0E+05,4.5E+01
DR09,2,2.8E+09,7.8E+09,3.1E+10,7.3E+09,2.0E+10,4.2E+08,2.8E+07,8.2E+08,3.7E+07,4.2E+07,1.2E+05,2.2E+05,4.5E+01
DR13,2,3.8E+09,1.0E+10,4.1E+10,9.7E+09,2.5E+10,5.2E+08,3.9E+07,2.3E+09,5.1E+07,5.9E+07,1.5E+04,2.9E+05,4.5E+01
DR14,2,3.7E+09,9.6E+09,3.9E+10,9.0E+09,2.6E+10,6.1E+08,3.7E+07,2.4E+09,4.2E+07,5.3E+07,1.2E+04,2.6E+05,4.5E+01
DR15,2,3.1E+09,6.7E+09,2.9E+10,7.4E+09,1.8E+10,4.2E+08,2.9E+07,2.4E+09,5.1E+07,5.5E+07,4.6E+04,2.3E+05,4.5E+01
DR19,2,2.0E+09,5.4E+09,2.2E+10,5.2E+09,1.5E+10,2.7E+08,2.2E+07,6.9E+08,2.1E+07,3.5E+07,0.0E+00,1.6E+05,4.5E+01
DR20,2,3.4E+09,7.0E+09,2.9E+10,6.9E+09,1.9E+10,4.5E+08,3.2E+07,1.2E+09,4.1E+07,4.7E+07,1.2E+04,3.5E+05,4.5E+01
DR21,2,4.9E+09,1.0E+10,4.1E+10,1.0E+10,2.6E+10,4.6E+08,4.1E+07,1.6E+09,4.4E+07,6.8E+07,0.0E+00,3.2E+05,4.5E+01
DR04,4,6.6E+09,1.5E+10,5.9E+10,1.6E+10,3.9E+10,9.7E+08,6.5E+07,1.4E+10,2.0E+08,8.1E+07,1.2E+04,3.6E+05,1.0E+01
DR05,4,8.1E+09,1.7E+10,6.3E+10,1.7E+10,4.3E+10,1.0E+09,7.3E+07,1.5E+10,2.0E+08,8.6E+07,0.0E+00,4.3E+05,1.0E+01
