ID,Date,CellDensity,Mean,P1,P2,P3,TotVol,Day,pH,Buffer
buff02,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,control
buff14,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,HEPES
buff01,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,control
buff03,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,control
buff04,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,HEPES
buff05,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,HEPES
buff06,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,HEPES
buff07,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,TRIS
buff08,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,7.5,TRIS
buff09,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,7.5,TRIS
buff10,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,control
buff11,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,control
buff12,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,control
buff13,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,HEPES
buff15,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,HEPES
buff16,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,TRIS
buff17,5/28/19,145000,4.434698626,7.068645,2.71109,1.06533,13226564.95,0,8,TRIS
buff18,5/28/19,78250,4.267759715,4.027515,5.879855,3.575125,6075331.519,0,8,TRIS
buff01,5/29/19,348000,4.625904358,4.116325,8.591215,1.077925,32862449.95,1,7.5,control
buff02,5/29/19,299500,4.450074932,4.339395,8.550155,1.09067,24992308.25,1,7.5,control
buff03,5/29/19,302750,4.564082615,4.339395,5.09898,9.939845,27866738.93,1,7.5,control
buff04,5/29/19,258750,4.975035974,4.521255,2.346565,9.26039,26715512.93,1,7.5,HEPES
buff05,5/29/19,271500,4.857409908,4.288095,5.38022,9.48415,30201364.23,1,7.5,HEPES
buff06,5/29/19,269250,4.939797425,4.237985,2.33189,8.42927,27369722.19,1,7.5,HEPES
